allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,Hardness
100.0,7.558488,10.0,4.8,20.2988926326,12.04083,2.755,1.6309999999999998,0.91,0.492719,0.7176,-1.2243080635767718,0.07427071563005593,-0.3798233479811103,0.08301391519476922,6.5
76.0,8.885992,15.6,5.6,33.739258,12.0863,2.8280000000000003,1.7880000000000005,0.8640000000000001,0.481478,1.50633,-0.32192379497413215,0.029238192804550152,-0.25161715429661347,0.12889655714057355,2.5
100.0,8.795296,10.0,4.8,20.213348778,10.9485,2.648,1.626,0.936,0.489272,0.78937,-1.1469376195665957,0.09444622198825439,-0.44852780646567014,0.04703275998350838,6.0
116.0,9.577996,11.6,4.8,24.988133138,11.82448,2.766,1.682,0.8959999999999999,0.4927359999999999,1.86481,-0.7461809948492882,0.08780507772728184,-0.13186979295971168,-0.2725183690089591,6.0
131.0,24.529328,21.83333333333333,4.666666666666667,50.1315,11.9482,2.858333333333333,1.7583333333333335,0.8966666666666668,0.4663883333333334,2.94712,0.6509884157347068,0.4989492332537226,0.22805246572542595,0.04394788326877161,6.0
50.0,3.253996,10.0,4.8,20.077018,11.023840000000002,2.727,1.767,0.8800000000000001,0.49901,0.80631,-1.0390131305183736,-0.3255440530124584,-0.519954937821177,-0.00978841600593896,2.0
30.0,2.70174775,6.0,4.0,11.663548,12.41584,2.766,1.495,0.71,0.6184925,0.41631,-2.7482862925896137,-0.8584773127661556,1.2921753629433512,0.06786672160692155,4.0
120.0,14.632,12.0,4.8,24.808518,11.33182,2.87,1.7185,0.91,0.4927359999999999,1.96268,-0.6059579607226234,-0.02427847384867951,-0.21234543582144627,-0.32034792820908137,6.0
97.0,13.477328,12.8125,5.0,24.98813313725,11.037175,2.81875,1.60125,0.88125,0.4931925,1.10889,-1.0495501971823036,0.27821929771583703,-0.042699583574862206,0.12655692798958473,5.8
72.0,6.697992,8.0,4.6,16.862137999999998,11.79886,2.648,1.626,0.912,0.498984,0.74322,-1.3969343650709862,-0.02391015689927849,-0.4013771665132692,-0.05684015645226311,6.0
136.0,8.109328,11.0,4.333333333333333,22.68885333333333,12.874275000000004,2.1466666666666665,1.7133333333333336,0.92,0.4990741666666666,0.75585,-0.9635917176467748,-0.2231224374562954,-0.4528378124482432,0.10835322416458368,5.5
14.0,4.673996,14.0,4.0,31.574635600000004,9.8771,2.115,1.925,1.12,0.4776649999999999,1.8288,0.5232021023926925,-0.7076401065434476,-1.1632408699881909,-0.2214275524569729,2.0
74.0,14.22,14.0,4.0,24.789618,9.8771,2.115,1.905,1.12,0.49897,1.3513,0.19108169300940347,-0.9807343808409225,-1.0915957341329725,-0.11923701184403002,6.0
105.0,5.203996,10.0,4.8,20.3920334,11.46526,2.752,1.7880000000000005,0.946,0.481478,0.81244,-0.7812345688389816,-0.2739119016700241,-0.8765266483947105,-0.03821660641311912,3.5
126.0,13.35,15.6,4.4,33.739258,10.73364,2.694,1.925,0.928,0.489272,1.96268,0.17159676081441283,-0.508151289271631,-0.5199322258927397,-0.13282134028454692,6.0
214.0,26.092,22.4,5.2,53.4902975,11.33044,2.8280000000000003,1.7400000000000002,0.96,0.4775399999999999,4.30067,1.1223016783920254,0.44914462454420645,0.5473340148630902,-0.439642688860001,2.5
80.0,3.7468275,10.0,4.5,20.9940862215,11.100835,2.6,1.7095,0.85,0.4912240000000001,0.53898,-1.240224371847582,-0.042606481617899324,-0.44738369505652525,0.1455695112059182,5.5
50.0,8.505991999999999,10.0,4.8,20.2988926326,10.565180000000002,2.7030000000000003,1.6980000000000002,0.8800000000000001,0.496379,0.68424,-1.186262362687138,-0.11141832464485496,-0.42259402210531843,0.07458129827739934,5.5
112.0,15.232328,24.66666666666667,6.0,55.64164,11.239316666666667,2.736666666666667,1.7283333333333335,0.9683333333333334,0.477685,3.11002,0.9986389830041363,0.3987494743504701,0.4032816188860053,0.17901347312735716,4.5
105.0,8.42666,10.0,4.8,21.989468,10.565180000000002,2.755,1.7120000000000002,0.86,0.4930319999999999,0.59473,-1.186308644620232,-0.07804804298929392,-0.4359011868113257,0.1365155654042272,6.0
58.0,11.463996000000002,19.0,4.0,39.568056,9.8771,2.455,1.88,1.14,0.476095,1.89676,0.8808226275641553,-0.5042829768271349,-0.8938895135894752,0.08988106946632075,4.0
126.0,12.56632,7.5625,3.71875,15.69310028,12.33182,2.6,1.52,0.7118749999999999,0.70831875,0.69605,-2.756809093114072,-1.9610692740737659,2.230705280222086,0.10391152554645286,3.8
208.0,17.05539975,9.454545454545457,4.454545454545454,18.965812659090904,11.288818181818185,2.76454545454545,1.66,0.8718181818181818,0.4980028181818182,0.8229,-1.3021086562564304,-0.012438143960063614,-0.311500157978371,-0.0062023399270737835,6.0
90.0,11.354575,18.0,4.8,39.987666666666655,12.63188,2.8355,1.5759999999999998,0.728,0.5568373333333334,2.74155,-0.7797141249849413,0.07575911599234762,1.595456128483127,-0.029968792668014742,3.8
